place,coordinates_y,coordinates_x,text
Hamina,60.568511,27.187841,Olet saapunut Haminaan! Satamamies Toimi Silvo kävelee pitkin Haminan katuja ja rantoja tehdessään valvomisen maailmanennätystä **Jaakko Yli-Juonikkaan** *Valvoja*-romaanissa. **Pelle Miljoonan** *Pyhiinvaeltajat* on 1960-luvulle sijoittuva vaellusromaani‚ jossa lähdetään Haminasta maailmalle. Nuoren Kekkosen johtama sotilasryhmä teloittaa sisällissodan punavankeja Haminan valleilla **Martti Linnan** romaanissa *Tämä nuori maa*.
Helsinki,60.160691,24.948632,Nyt ollaan Helsingissä! **Kjell Westön** romaani *[Älä käy yöhön yksin](https://areena.yle.fi/1-2964793)* (suom. Katriina Huttunen) kuvaa kasvavaa Helsinkiä. Henkilöiden elämäntarinat kulkevat Kallion kaduilta monen kaupunginosan halki Kontulan näköiseen uuteen Männistön lähiöön. **Silja Järventaustan** *Kaupungin lippuluukulla* -nimisessä runokirjassakin Helsinkiä rakennetaan. **Koko Hubaran** *[Bechi](https://areena.yle.fi/podcastit/1-50760888)* kuljettaa lukijaa Kallion ja Punavuoren baareista Bulevardille.
Hämeenlinna,60.980274,24.466838,Tervetuloa Hämeenlinnaan! **Johanna Vuoksenmaan** [*Pimeät tunnit* -romaanissa](https://areena.yle.fi/podcastit/1-50463842) sähkökatkot vaivaavat Hämeenlinnaa vuonna 1977. **Olli Jalosen** teoksessa *[Miehiä ja ihmisiä](https://areena.yle.fi/1-2386438)* kesäinen Hämeenlinna toimii taustana aikuistumiselle‚ kun poika yrittää päästä selville miesten jutuista. **Juha Itkosen** [*Kohti*-romaanissa](https://areena.yle.fi/1-50095153) ministeri Ansas näkee väkivaltaista unta lapsuudestaan Hämeenlinnassa.
Joensuu,62.584323,29.784829,Joensuu on rock. **Anssi Hemilän** romaani *Ilosaari* vie lukijan viikonlopuksi Laulurinteelle‚ Ilosaarirockiin ja nuoruuteen. **Suonna Konosen** *[Tie päättyy meren rannalle -romaanissa](https://areena.yle.fi/podcastit/1-62529019)* kaupungista lähdetään kohti pohjoista. **Hannu Tikkasen** kirja *Musta ryssä ja sininen enkeli* kuvaa 1970-luvun opiskelija- ja musiikkielämää Joensuussa.
Jyväskylä,62.229044,25.743726,Olet saapunut Jyväskylään. **Pasi-Ilmari Jääskeläisen** *Harjukaupungin salakäytävät* on romaani‚ jossa Jyväskylä muuttuu tavallisesta kaupungista mystiseksi ja muistot vievät sen alla risteileviin salakäytäviin. **Pirjo Hassisen** romaanissa *[Suistola](https://areena.yle.fi/1-50151480)* Lutakossa sijaitsevasta komeasta Schaumanin linnasta on tullut ylellinen hoitokoti. **Dess Terentjevan** säeromaanisssa *[Ihana](https://areena.yle.fi/podcastit/1-50980673)* Kuokkalan sillalla tuulee aina.
Kajaani,64.220378,27.728604,Nyt ollaan Kajaanissa! *[Jättiläinen](https://areena.yle.fi/1-50151562)* on **Riikka Ala-Harjan** romaani‚ jonka päähenkilö on tavallinen kajaanilainen poika‚ paitsi että hän on 227-senttinen. **Pekka Kämäräisen** tosipohjainen romaani *Elias* kertoo Elias Lönnrotin elämästä Kajaanissa ja **Kaari Utrion** *Seuraneiti*-romaanissa ahkeroidaan kajaanilaisessa pappilassa.
Kotka,60.460091,26.934247,Tervetuloa Kotkaan! **Irja Sinivaaran** novellikokoelmassa *Naisten viikko* haaveillaan suudelmista ja seikkailusta kotkalaisella sillalla. **Joel Haahtelan** romaani *Katoamispiste* sekoittaa faktaa ja fiktiota‚ kirjassa kuljetaan kirjailija Raija Siekkisen kotikaupungissa. Kotkalaiskirjailija **Jari Järvelä** tuo arkkitehti Aino Aallon Kotkaan elämäkertaromaanissa *Aino A*.
Kouvola,60.853877,26.690097,Olet saapunut Kouvolaan! **Arsi Aleniuksen** romaanissa *[Villa Alpha](https://areena.yle.fi/podcastit/1-50068711)* toimittaja lähtee juttukeikalle Kouvolassa sijaitsevaan elämyskeskukseen‚ jossa aikuiset voivat elää nuoruutensa uudelleen. Kouvola innoittaa dekkaristeja. **Risto Malinin** *Anjalankosken salaisuudessa* selvitetään Stora Enson Anjalankosken tehtaiden synkkää salaisuutta ja **Kimmo Hyvärisen** *Kadonneen naisen arvoituksessa* liikutaan Voikkaalla‚ Kymen ruukilla ja Kouvolan torin Martta-kahviossa.
Kuopio,62.878742,27.676705,Tervetuloa kalakukkojen kaupunkiin! **Sirpa Kähkösen** *[Lakanasiivet](https://areena.yle.fi/1-50113976)* kertoo päivästä‚ jolloin Kuopiota pommitettiin jatkosodassa. Kirja on osa Kuopio-sarjaa. **Marja-Leena Tiaisen** romaanissa *Kanslian naiset* 1970-luvun kuopiolaiset työläisnaiset yrittävät yhdistää äitiyden ja palkkatyön. **Emma Luoman** *Perhosten aika* -scifi-romaanissa perhosentoukat valtaavat Kuopion ja ihmiset joutuvat pakenemaan henkensä edestä.
Oulu,65.000656,25.486823,**Kauko Röyhkän** omaelämäkerrallisessa romaanissa *Miss Farkku-Suomi* punk saapuu Ouluun. **Johanna Hulkko** kirjoittaa *Onnenpäiviä*-kirjassaan 10-vuotiaan tytön lapsuudesta oululaisessa kerrostalossa. **Joni Skiftesvikin** *Apteekkilaiva*-novellikokoelman matkassa kuljetaan kauas historiaan‚ kun suuri höyryfregatti saapuu Oulun satamaan.
Pori,61.476591,21.798697,Tervetuloa Poriin! **Hanna-Riikka Kuisman** romaanissa *[Sydänvarjo](https://areena.yle.fi/1-1290361)* Pori on pakkomielteiden ja ulkopuolisuuden temmellyskenttä. **Jari Olavi Rantalan** Poriin sijoittuva *Varasuunnitelma*-novellikokoelma kertoo miesten maailmasta. **Katriina Ranteen** *Minä‚ sisareni* -esikoisromaanin sisarusnelikko ponnistaa Noormarkusta eri puolille maailmaa. Noormarkku on nykyään osa Poria.
